Número interno de finca MOVE;Región/ Zona o cooperativa;Técnico a cargo;Nombre productor;Municipio;Departamento
1626;XXXX;XXX;XXX;XXX;XX
1627;XXXX;YYY;FADFBA;XXX;XX
1633;XXXX;KKK;FDSBSDF;XXX;XX
1637;XXXX;ÑÑÑ;DFGN;XXX;XX
1638;XXXX;PPP;SNBGS;XXX;XX
1643;XXXX;QQQ;XXX;XXX;XX
1649;XXXX;XXX;FADFBA;XXX;XX
1659;XXXX;YYY;FDSBSDF;XXX;XX
1661;XXXX;KKK;DFGN;XXX;XX
1663;XXXX;ÑÑÑ;SNBGS;XXX;XX
1665;XXXX;PPP;XXX;XXX;XX
1671;XXXX;QQQ;FADFBA;XXX;XX
1684;XXXX;XXX;FDSBSDF;XXX;XX
1686;XXXX;YYY;DFGN;XXX;XX
1694;XXXX;KKK;SNBGS;XXX;XX
1697;XXXX;ÑÑÑ;XXX;XXX;XX
1698;XXXX;PPP;FADFBA;XXX;XX
1701;XXXX;QQQ;FDSBSDF;XXX;XX
1728;XXXX;XXX;DFGN;XXX;XX
1733;XXXX;YYY;SNBGS;XXX;XX
1739;XXXX;KKK;XXX;XXX;XX
1744;XXXX;ÑÑÑ;FADFBA;XXX;XX
1747;XXXX;PPP;FDSBSDF;XXX;XX
1748;XXXX;QQQ;DFGN;XXX;XX
1749;XXXX;XXX;SNBGS;XXX;XX
1750;XXXX;YYY;XXX;XXX;XX
1751;XXXX;KKK;FADFBA;XXX;XX
1779;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
1786;XXXX;PPP;DFGN;XXX;XX
1834;XXXX;QQQ;SNBGS;XXX;XX
1835;XXXX;XXX;XXX;XXX;XX
1836;XXXX;YYY;FADFBA;XXX;XX
1839;XXXX;KKK;FDSBSDF;XXX;XX
1840;XXXX;ÑÑÑ;DFGN;XXX;XX
1858;XXXX;PPP;SNBGS;XXX;XX
1892;XXXX;QQQ;XXX;XXX;XX
1907;XXXX;XXX;FADFBA;XXX;XX
1925;XXXX;YYY;FDSBSDF;XXX;XX
1955;XXXX;KKK;DFGN;XXX;XX
1956;XXXX;ÑÑÑ;SNBGS;XXX;XX
1957;XXXX;PPP;XXX;XXX;XX
1962;XXXX;QQQ;FADFBA;XXX;XX
1963;XXXX;XXX;FDSBSDF;XXX;XX
1967;XXXX;YYY;DFGN;XXX;XX
1968;XXXX;KKK;SNBGS;XXX;XX
1971;XXXX;ÑÑÑ;XXX;XXX;XX
1973;XXXX;PPP;FADFBA;XXX;XX
1974;XXXX;QQQ;FDSBSDF;XXX;XX
1975;XXXX;XXX;DFGN;XXX;XX
1976;XXXX;YYY;SNBGS;XXX;XX
1977;XXXX;KKK;XXX;XXX;XX
1979;XXXX;ÑÑÑ;FADFBA;XXX;XX
1981;XXXX;PPP;FDSBSDF;XXX;XX
1989;XXXX;QQQ;DFGN;XXX;XX
1990;XXXX;XXX;SNBGS;XXX;XX
1991;XXXX;YYY;XXX;XXX;XX
1995;XXXX;KKK;FADFBA;XXX;XX
1998;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2000;XXXX;PPP;DFGN;XXX;XX
2002;XXXX;QQQ;SNBGS;XXX;XX
2004;XXXX;XXX;XXX;XXX;XX
2007;XXXX;YYY;FADFBA;XXX;XX
2010;XXXX;KKK;FDSBSDF;XXX;XX
2016;XXXX;ÑÑÑ;DFGN;XXX;XX
2017;XXXX;PPP;SNBGS;XXX;XX
2022;XXXX;QQQ;XXX;XXX;XX
2031;XXXX;XXX;FADFBA;XXX;XX
2032;XXXX;YYY;FDSBSDF;XXX;XX
2042;XXXX;KKK;DFGN;XXX;XX
2043;XXXX;ÑÑÑ;SNBGS;XXX;XX
2044;XXXX;PPP;XXX;XXX;XX
2062;XXXX;QQQ;FADFBA;XXX;XX
2063;XXXX;XXX;FDSBSDF;XXX;XX
2065;XXXX;YYY;DFGN;XXX;XX
2067;XXXX;KKK;SNBGS;XXX;XX
2068;XXXX;ÑÑÑ;XXX;XXX;XX
2069;XXXX;PPP;FADFBA;XXX;XX
2071;XXXX;QQQ;FDSBSDF;XXX;XX
2073;XXXX;XXX;DFGN;XXX;XX
2074;XXXX;YYY;SNBGS;XXX;XX
2075;XXXX;KKK;XXX;XXX;XX
2077;XXXX;ÑÑÑ;FADFBA;XXX;XX
2079;XXXX;PPP;FDSBSDF;XXX;XX
2080;XXXX;QQQ;DFGN;XXX;XX
2081;XXXX;XXX;SNBGS;XXX;XX
2082;XXXX;YYY;XXX;XXX;XX
2084;XXXX;KKK;FADFBA;XXX;XX
2086;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2092;XXXX;PPP;DFGN;XXX;XX
2097;XXXX;QQQ;SNBGS;XXX;XX
2099;XXXX;XXX;XXX;XXX;XX
2100;XXXX;YYY;FADFBA;XXX;XX
2101;XXXX;KKK;FDSBSDF;XXX;XX
2103;XXXX;ÑÑÑ;DFGN;XXX;XX
